filename,path,format,doc_type,page_count,image_page,contains_passport,is_edge_case,distortion,source_image
passport_normal_00000.docx,data\documents\docx\passport_normal\passport_normal_00000.docx,docx,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0000.jpg
passport_edge_00001.pdf,data\documents\pdf\passport_edge\passport_edge_00001.pdf,pdf,passport_edge,2.0,1.0,1,1,rotated,aslessor_passport_0000.jpg
passport_normal_00002.pdf,data\documents\pdf\passport_normal\passport_normal_00002.pdf,pdf,passport_normal,2.0,2.0,1,0,gentle,aslessor_passport_0001.jpg
passport_edge_00003.docx,data\documents\docx\passport_edge\passport_edge_00003.docx,docx,passport_edge,2.0,2.0,1,1,photocopy,aslessor_passport_0001.jpg
passport_normal_00004.pdf,data\documents\pdf\passport_normal\passport_normal_00004.pdf,pdf,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0002.jpg
passport_edge_00005.pdf,data\documents\pdf\passport_edge\passport_edge_00005.pdf,pdf,passport_edge,3.0,1.0,1,1,noise,aslessor_passport_0002.jpg
passport_normal_00006.pdf,data\documents\pdf\passport_normal\passport_normal_00006.pdf,pdf,passport_normal,3.0,2.0,1,0,gentle,aslessor_passport_0003.jpg
passport_edge_00007.pdf,data\documents\pdf\passport_edge\passport_edge_00007.pdf,pdf,passport_edge,4.0,3.0,1,1,pixelated,aslessor_passport_0003.jpg
passport_normal_00008.docx,data\documents\docx\passport_normal\passport_normal_00008.docx,docx,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0004.jpg
passport_edge_00009.docx,data\documents\docx\passport_edge\passport_edge_00009.docx,docx,passport_edge,2.0,1.0,1,1,shadow,aslessor_passport_0004.jpg
passport_normal_00010.pdf,data\documents\pdf\passport_normal\passport_normal_00010.pdf,pdf,passport_normal,3.0,1.0,1,0,gentle,aslessor_passport_0005.jpg
passport_edge_00011.pdf,data\documents\pdf\passport_edge\passport_edge_00011.pdf,pdf,passport_edge,4.0,1.0,1,1,rotated,aslessor_passport_0005.jpg
passport_normal_00012.pdf,data\documents\pdf\passport_normal\passport_normal_00012.pdf,pdf,passport_normal,3.0,1.0,1,0,gentle,aslessor_passport_0006.jpg
passport_edge_00013.docx,data\documents\docx\passport_edge\passport_edge_00013.docx,docx,passport_edge,3.0,2.0,1,1,rotated,aslessor_passport_0006.jpg
passport_normal_00014.pdf,data\documents\pdf\passport_normal\passport_normal_00014.pdf,pdf,passport_normal,3.0,1.0,1,0,gentle,aslessor_passport_0007.jpg
passport_edge_00015.pdf,data\documents\pdf\passport_edge\passport_edge_00015.pdf,pdf,passport_edge,3.0,3.0,1,1,shadow,aslessor_passport_0007.jpg
passport_normal_00016.docx,data\documents\docx\passport_normal\passport_normal_00016.docx,docx,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0008.jpg
passport_edge_00017.pdf,data\documents\pdf\passport_edge\passport_edge_00017.pdf,pdf,passport_edge,3.0,2.0,1,1,pixelated,aslessor_passport_0008.jpg
passport_normal_00018.docx,data\documents\docx\passport_normal\passport_normal_00018.docx,docx,passport_normal,2.0,2.0,1,0,gentle,aslessor_passport_0009.jpg
passport_edge_00019.docx,data\documents\docx\passport_edge\passport_edge_00019.docx,docx,passport_edge,3.0,1.0,1,1,rotated,aslessor_passport_0009.jpg
passport_normal_00020.pdf,data\documents\pdf\passport_normal\passport_normal_00020.pdf,pdf,passport_normal,2.0,2.0,1,0,gentle,aslessor_passport_0010.jpg
passport_edge_00021.pdf,data\documents\pdf\passport_edge\passport_edge_00021.pdf,pdf,passport_edge,2.0,1.0,1,1,blur,aslessor_passport_0010.jpg
passport_normal_00022.pdf,data\documents\pdf\passport_normal\passport_normal_00022.pdf,pdf,passport_normal,4.0,1.0,1,0,gentle,aslessor_passport_0011.jpg
passport_edge_00023.pdf,data\documents\pdf\passport_edge\passport_edge_00023.pdf,pdf,passport_edge,2.0,1.0,1,1,blur,aslessor_passport_0011.jpg
passport_normal_00024.pdf,data\documents\pdf\passport_normal\passport_normal_00024.pdf,pdf,passport_normal,4.0,3.0,1,0,gentle,aslessor_passport_0012.jpg
passport_edge_00025.pdf,data\documents\pdf\passport_edge\passport_edge_00025.pdf,pdf,passport_edge,2.0,2.0,1,1,shadow,aslessor_passport_0012.jpg
passport_normal_00026.pdf,data\documents\pdf\passport_normal\passport_normal_00026.pdf,pdf,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0013.jpg
passport_edge_00027.pdf,data\documents\pdf\passport_edge\passport_edge_00027.pdf,pdf,passport_edge,2.0,2.0,1,1,rotated,aslessor_passport_0013.jpg
passport_normal_00028.docx,data\documents\docx\passport_normal\passport_normal_00028.docx,docx,passport_normal,3.0,2.0,1,0,gentle,aslessor_passport_0014.jpg
passport_edge_00029.pdf,data\documents\pdf\passport_edge\passport_edge_00029.pdf,pdf,passport_edge,4.0,4.0,1,1,shadow,aslessor_passport_0014.jpg
passport_normal_00030.pdf,data\documents\pdf\passport_normal\passport_normal_00030.pdf,pdf,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0015.jpg
passport_edge_00031.pdf,data\documents\pdf\passport_edge\passport_edge_00031.pdf,pdf,passport_edge,4.0,3.0,1,1,shadow,aslessor_passport_0015.jpg
passport_normal_00032.docx,data\documents\docx\passport_normal\passport_normal_00032.docx,docx,passport_normal,3.0,2.0,1,0,none,aslessor_passport_0016.jpg
passport_edge_00033.pdf,data\documents\pdf\passport_edge\passport_edge_00033.pdf,pdf,passport_edge,4.0,2.0,1,1,noise,aslessor_passport_0016.jpg
passport_normal_00034.docx,data\documents\docx\passport_normal\passport_normal_00034.docx,docx,passport_normal,2.0,2.0,1,0,gentle,aslessor_passport_0017.jpg
passport_edge_00035.pdf,data\documents\pdf\passport_edge\passport_edge_00035.pdf,pdf,passport_edge,2.0,2.0,1,1,noise,aslessor_passport_0017.jpg
passport_normal_00036.pdf,data\documents\pdf\passport_normal\passport_normal_00036.pdf,pdf,passport_normal,3.0,2.0,1,0,gentle,aslessor_passport_0018.jpg
passport_edge_00037.docx,data\documents\docx\passport_edge\passport_edge_00037.docx,docx,passport_edge,2.0,1.0,1,1,photocopy,aslessor_passport_0018.jpg
passport_normal_00038.pdf,data\documents\pdf\passport_normal\passport_normal_00038.pdf,pdf,passport_normal,2.0,2.0,1,0,none,aslessor_passport_0019.jpg
passport_edge_00039.pdf,data\documents\pdf\passport_edge\passport_edge_00039.pdf,pdf,passport_edge,4.0,3.0,1,1,shadow,aslessor_passport_0019.jpg
passport_normal_00040.pdf,data\documents\pdf\passport_normal\passport_normal_00040.pdf,pdf,passport_normal,2.0,2.0,1,0,gentle,aslessor_passport_0020.jpg
passport_edge_00041.pdf,data\documents\pdf\passport_edge\passport_edge_00041.pdf,pdf,passport_edge,3.0,3.0,1,1,noise,aslessor_passport_0020.jpg
passport_normal_00042.pdf,data\documents\pdf\passport_normal\passport_normal_00042.pdf,pdf,passport_normal,3.0,3.0,1,0,none,aslessor_passport_0021.jpg
passport_edge_00043.pdf,data\documents\pdf\passport_edge\passport_edge_00043.pdf,pdf,passport_edge,2.0,2.0,1,1,pixelated,aslessor_passport_0021.jpg
passport_normal_00044.docx,data\documents\docx\passport_normal\passport_normal_00044.docx,docx,passport_normal,2.0,1.0,1,0,none,aslessor_passport_0022.jpg
passport_edge_00045.pdf,data\documents\pdf\passport_edge\passport_edge_00045.pdf,pdf,passport_edge,3.0,3.0,1,1,blur,aslessor_passport_0022.jpg
passport_normal_00046.docx,data\documents\docx\passport_normal\passport_normal_00046.docx,docx,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0023.jpg
passport_edge_00047.docx,data\documents\docx\passport_edge\passport_edge_00047.docx,docx,passport_edge,2.0,2.0,1,1,pixelated,aslessor_passport_0023.jpg
passport_normal_00048.pdf,data\documents\pdf\passport_normal\passport_normal_00048.pdf,pdf,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0024.jpg
passport_edge_00049.pdf,data\documents\pdf\passport_edge\passport_edge_00049.pdf,pdf,passport_edge,2.0,2.0,1,1,pixelated,aslessor_passport_0024.jpg
passport_normal_00050.pdf,data\documents\pdf\passport_normal\passport_normal_00050.pdf,pdf,passport_normal,2.0,2.0,1,0,gentle,aslessor_passport_0025.jpg
passport_edge_00051.pdf,data\documents\pdf\passport_edge\passport_edge_00051.pdf,pdf,passport_edge,2.0,2.0,1,1,pixelated,aslessor_passport_0025.jpg
passport_normal_00052.pdf,data\documents\pdf\passport_normal\passport_normal_00052.pdf,pdf,passport_normal,2.0,2.0,1,0,none,aslessor_passport_0026.jpg
passport_edge_00053.docx,data\documents\docx\passport_edge\passport_edge_00053.docx,docx,passport_edge,3.0,3.0,1,1,shadow,aslessor_passport_0026.jpg
passport_normal_00054.pdf,data\documents\pdf\passport_normal\passport_normal_00054.pdf,pdf,passport_normal,3.0,1.0,1,0,gentle,aslessor_passport_0027.jpg
passport_edge_00055.pdf,data\documents\pdf\passport_edge\passport_edge_00055.pdf,pdf,passport_edge,3.0,2.0,1,1,pixelated,aslessor_passport_0027.jpg
passport_normal_00056.docx,data\documents\docx\passport_normal\passport_normal_00056.docx,docx,passport_normal,2.0,1.0,1,0,gentle,aslessor_passport_0028.jpg
passport_edge_00057.pdf,data\documents\pdf\passport_edge\passport_edge_00057.pdf,pdf,passport_edge,4.0,1.0,1,1,blur,aslessor_passport_0028.jpg
passport_normal_00058.docx,data\documents\docx\passport_normal\passport_normal_00058.docx,docx,passport_normal,2.0,2.0,1,0,gentle,aslessor_passport_0029.jpg
passport_edge_00059.docx,data\documents\docx\passport_edge\passport_edge_00059.docx,docx,passport_edge,2.0,2.0,1,1,rotated,aslessor_passport_0029.jpg
passport_normal_00060.pdf,data\documents\pdf\passport_normal\passport_normal_00060.pdf,pdf,passport_normal,3.0,1.0,1,0,none,aslessor_passport_0030.jpg
passport_edge_00061.pdf,data\documents\pdf\passport_edge\passport_edge_00061.pdf,pdf,passport_edge,4.0,4.0,1,1,pixelated,aslessor_passport_0030.jpg
passport_normal_00062.pdf,data\documents\pdf\passport_normal\passport_normal_00062.pdf,pdf,passport_normal,3.0,3.0,1,0,none,aslessor_passport_0031.jpg
passport_edge_00063.pdf,data\documents\pdf\passport_edge\passport_edge_00063.pdf,pdf,passport_edge,3.0,1.0,1,1,photocopy,aslessor_passport_0031.jpg
passport_normal_00064.pdf,data\documents\pdf\passport_normal\passport_normal_00064.pdf,pdf,passport_normal,4.0,3.0,1,0,gentle,aslessor_passport_0032.jpg
passport_edge_00065.docx,data\documents\docx\passport_edge\passport_edge_00065.docx,docx,passport_edge,3.0,3.0,1,1,photocopy,aslessor_passport_0032.jpg
