page_name,page_path,document,doc_type,format,page_number,doc_page_count,contains_passport,is_edge_case,distortion,source_image
passport_normal_00000_p01.jpg,data\pages\passport_normal\passport_normal_00000_p01.jpg,passport_normal_00000.docx,passport_normal,docx,1,2,1,0,gentle,aslessor_passport_0000.jpg
passport_normal_00000_p02.jpg,data\pages\filler_text\passport_normal_00000_p02.jpg,passport_normal_00000.docx,filler_text,docx,2,2,0,0,,
passport_edge_00001_p01.jpg,data\pages\passport_edge\passport_edge_00001_p01.jpg,passport_edge_00001.pdf,passport_edge,pdf,1,2,1,1,rotated,aslessor_passport_0000.jpg
passport_edge_00001_p02.jpg,data\pages\filler_text\passport_edge_00001_p02.jpg,passport_edge_00001.pdf,filler_text,pdf,2,2,0,0,,
passport_normal_00002_p01.jpg,data\pages\filler_text\passport_normal_00002_p01.jpg,passport_normal_00002.pdf,filler_text,pdf,1,2,0,0,,
passport_normal_00002_p02.jpg,data\pages\passport_normal\passport_normal_00002_p02.jpg,passport_normal_00002.pdf,passport_normal,pdf,2,2,1,0,gentle,aslessor_passport_0001.jpg
passport_edge_00003_p01.jpg,data\pages\filler_text\passport_edge_00003_p01.jpg,passport_edge_00003.docx,filler_text,docx,1,2,0,0,,
passport_edge_00003_p02.jpg,data\pages\passport_edge\passport_edge_00003_p02.jpg,passport_edge_00003.docx,passport_edge,docx,2,2,1,1,photocopy,aslessor_passport_0001.jpg
passport_normal_00004_p01.jpg,data\pages\passport_normal\passport_normal_00004_p01.jpg,passport_normal_00004.pdf,passport_normal,pdf,1,2,1,0,gentle,aslessor_passport_0002.jpg
passport_normal_00004_p02.jpg,data\pages\filler_text\passport_normal_00004_p02.jpg,passport_normal_00004.pdf,filler_text,pdf,2,2,0,0,,
passport_edge_00005_p01.jpg,data\pages\passport_edge\passport_edge_00005_p01.jpg,passport_edge_00005.pdf,passport_edge,pdf,1,3,1,1,noise,aslessor_passport_0002.jpg
passport_edge_00005_p02.jpg,data\pages\filler_text\passport_edge_00005_p02.jpg,passport_edge_00005.pdf,filler_text,pdf,2,3,0,0,,
passport_edge_00005_p03.jpg,data\pages\filler_text\passport_edge_00005_p03.jpg,passport_edge_00005.pdf,filler_text,pdf,3,3,0,0,,
passport_normal_00006_p01.jpg,data\pages\filler_text\passport_normal_00006_p01.jpg,passport_normal_00006.pdf,filler_text,pdf,1,3,0,0,,
passport_normal_00006_p02.jpg,data\pages\passport_normal\passport_normal_00006_p02.jpg,passport_normal_00006.pdf,passport_normal,pdf,2,3,1,0,gentle,aslessor_passport_0003.jpg
passport_normal_00006_p03.jpg,data\pages\filler_text\passport_normal_00006_p03.jpg,passport_normal_00006.pdf,filler_text,pdf,3,3,0,0,,
passport_edge_00007_p01.jpg,data\pages\filler_text\passport_edge_00007_p01.jpg,passport_edge_00007.pdf,filler_text,pdf,1,4,0,0,,
passport_edge_00007_p02.jpg,data\pages\filler_text\passport_edge_00007_p02.jpg,passport_edge_00007.pdf,filler_text,pdf,2,4,0,0,,
