image_name,image_path,vector_row
passport_normal_00000_p01.jpg,data\pages\passport_normal\passport_normal_00000_p01.jpg,0
passport_normal_00000_p02.jpg,data\pages\filler_text\passport_normal_00000_p02.jpg,1
passport_edge_00001_p01.jpg,data\pages\passport_edge\passport_edge_00001_p01.jpg,2
passport_edge_00001_p02.jpg,data\pages\filler_text\passport_edge_00001_p02.jpg,3
passport_normal_00002_p01.jpg,data\pages\filler_text\passport_normal_00002_p01.jpg,4
passport_normal_00002_p02.jpg,data\pages\passport_normal\passport_normal_00002_p02.jpg,5
passport_edge_00003_p01.jpg,data\pages\filler_text\passport_edge_00003_p01.jpg,6
passport_edge_00003_p02.jpg,data\pages\passport_edge\passport_edge_00003_p02.jpg,7
passport_normal_00004_p01.jpg,data\pages\passport_normal\passport_normal_00004_p01.jpg,8
passport_normal_00004_p02.jpg,data\pages\filler_text\passport_normal_00004_p02.jpg,9
passport_edge_00005_p01.jpg,data\pages\passport_edge\passport_edge_00005_p01.jpg,10
passport_edge_00005_p02.jpg,data\pages\filler_text\passport_edge_00005_p02.jpg,11
passport_edge_00005_p03.jpg,data\pages\filler_text\passport_edge_00005_p03.jpg,12
passport_normal_00006_p01.jpg,data\pages\filler_text\passport_normal_00006_p01.jpg,13
passport_normal_00006_p02.jpg,data\pages\passport_normal\passport_normal_00006_p02.jpg,14
passport_normal_00006_p03.jpg,data\pages\filler_text\passport_normal_00006_p03.jpg,15
passport_edge_00007_p01.jpg,data\pages\filler_text\passport_edge_00007_p01.jpg,16
passport_edge_00007_p02.jpg,data\pages\filler_text\passport_edge_00007_p02.jpg,17
passport_edge_00007_p03.jpg,data\pages\passport_edge\passport_edge_00007_p03.jpg,18
passport_normal_00008_p01.jpg,data\pages\passport_normal\passport_normal_00008_p01.jpg,19
passport_normal_00008_p02.jpg,data\pages\filler_text\passport_normal_00008_p02.jpg,20
passport_edge_00009_p01.jpg,data\pages\passport_edge\passport_edge_00009_p01.jpg,21
passport_edge_00009_p02.jpg,data\pages\filler_text\passport_edge_00009_p02.jpg,22
passport_normal_00010_p01.jpg,data\pages\passport_normal\passport_normal_00010_p01.jpg,23
passport_normal_00010_p02.jpg,data\pages\filler_text\passport_normal_00010_p02.jpg,24
passport_normal_00010_p03.jpg,data\pages\filler_text\passport_normal_00010_p03.jpg,25
passport_edge_00011_p01.jpg,data\pages\passport_edge\passport_edge_00011_p01.jpg,26
passport_edge_00011_p02.jpg,data\pages\filler_text\passport_edge_00011_p02.jpg,27
passport_edge_00011_p03.jpg,data\pages\filler_text\passport_edge_00011_p03.jpg,28
passport_normal_00012_p01.jpg,data\pages\passport_normal\passport_normal_00012_p01.jpg,29
passport_normal_00012_p02.jpg,data\pages\filler_text\passport_normal_00012_p02.jpg,30
passport_normal_00012_p03.jpg,data\pages\filler_text\passport_normal_00012_p03.jpg,31
passport_edge_00013_p01.jpg,data\pages\filler_text\passport_edge_00013_p01.jpg,32
passport_edge_00013_p02.jpg,data\pages\passport_edge\passport_edge_00013_p02.jpg,33
passport_edge_00013_p03.jpg,data\pages\filler_text\passport_edge_00013_p03.jpg,34
passport_normal_00014_p01.jpg,data\pages\passport_normal\passport_normal_00014_p01.jpg,35
passport_normal_00014_p02.jpg,data\pages\filler_text\passport_normal_00014_p02.jpg,36
passport_normal_00014_p03.jpg,data\pages\filler_text\passport_normal_00014_p03.jpg,37
passport_edge_00015_p01.jpg,data\pages\filler_text\passport_edge_00015_p01.jpg,38
passport_edge_00015_p02.jpg,data\pages\filler_text\passport_edge_00015_p02.jpg,39
passport_edge_00015_p03.jpg,data\pages\passport_edge\passport_edge_00015_p03.jpg,40
