document_id,document_type,case_type,case_number,passport_page_number
PDF_Edge_Case_11,PDF,Edge Case,11,1
PDF_Edge_Case_12,PDF,Edge Case,12,3
PDF_Edge_Case_13,PDF,Edge Case,13,1
PDF_Edge_Case_14,PDF,Edge Case,14,3
PDF_Edge_Case_15,PDF,Edge Case,15,2
PDF_Normal_Doc_1,PDF,Normal Doc,1,3
PDF_Normal_Doc_2,PDF,Normal Doc,2,1
PDF_Normal_Doc_3,PDF,Normal Doc,3,3
PDF_Normal_Doc_4,PDF,Normal Doc,4,2
PDF_Normal_Doc_5,PDF,Normal Doc,5,1
PDF_Normal_Doc_6,PDF,Normal Doc,6,2
PDF_Normal_Doc_7,PDF,Normal Doc,7,2
PDF_Normal_Doc_8,PDF,Normal Doc,8,8
PDF_Normal_Doc_9,PDF,Normal Doc,9,4
PDF_Normal_Doc_10,PDF,Normal Doc,10,3
Word_Edge_Case_11,Word,Edge Case,11,2
Word_Edge_Case_12,Word,Edge Case,12,3
Word_Edge_Case_13,Word,Edge Case,13,2
Word_Edge_Case_14,Word,Edge Case,14,4
Word_Edge_Case_15,Word,Edge Case,15,3
Word_Edge_Case_16,Word,Edge Case,16,3
Word_Normal_Doc_1,Word,Normal Doc,1,2
Word_Normal_Doc_2,Word,Normal Doc,2,3
Word_Normal_Doc_3,Word,Normal Doc,3,3
Word_Normal_Doc_4,Word,Normal Doc,4,3
Word_Normal_Doc_5,Word,Normal Doc,5,3
Word_Normal_Doc_6,Word,Normal Doc,6,2
Word_Normal_Doc_7,Word,Normal Doc,7,3
Word_Normal_Doc_8,Word,Normal Doc,8,3
Word_Normal_Doc_9,Word,Normal Doc,9,2
Word_Normal_Doc_10,Word,Normal Doc,10,3
