image_path,label
data\pages\passport_normal\passport_normal_00000_p01.jpg,1
data\pages\filler_text\passport_normal_00000_p02.jpg,0
data\pages\passport_edge\passport_edge_00001_p01.jpg,1
data\pages\filler_text\passport_edge_00001_p02.jpg,0
data\pages\filler_text\passport_normal_00002_p01.jpg,0
data\pages\passport_normal\passport_normal_00002_p02.jpg,1
data\pages\filler_text\passport_edge_00003_p01.jpg,0
data\pages\passport_edge\passport_edge_00003_p02.jpg,1
data\pages\passport_normal\passport_normal_00004_p01.jpg,1
data\pages\filler_text\passport_normal_00004_p02.jpg,0
data\pages\passport_edge\passport_edge_00005_p01.jpg,1
data\pages\filler_text\passport_edge_00005_p02.jpg,0
data\pages\filler_text\passport_edge_00005_p03.jpg,0
data\pages\filler_text\passport_normal_00006_p01.jpg,0
data\pages\passport_normal\passport_normal_00006_p02.jpg,1
data\pages\filler_text\passport_normal_00006_p03.jpg,0
data\pages\filler_text\passport_edge_00007_p01.jpg,0
data\pages\filler_text\passport_edge_00007_p02.jpg,0
data\pages\passport_edge\passport_edge_00007_p03.jpg,1
data\pages\passport_normal\passport_normal_00008_p01.jpg,1
data\pages\filler_text\passport_normal_00008_p02.jpg,0
data\pages\passport_edge\passport_edge_00009_p01.jpg,1
data\pages\filler_text\passport_edge_00009_p02.jpg,0
data\pages\passport_normal\passport_normal_00010_p01.jpg,1
data\pages\filler_text\passport_normal_00010_p02.jpg,0
data\pages\filler_text\passport_normal_00010_p03.jpg,0
data\pages\passport_edge\passport_edge_00011_p01.jpg,1
data\pages\filler_text\passport_edge_00011_p02.jpg,0
data\pages\filler_text\passport_edge_00011_p03.jpg,0
data\pages\passport_normal\passport_normal_00012_p01.jpg,1
data\pages\filler_text\passport_normal_00012_p02.jpg,0
data\pages\filler_text\passport_normal_00012_p03.jpg,0
data\pages\filler_text\passport_edge_00013_p01.jpg,0
data\pages\passport_edge\passport_edge_00013_p02.jpg,1
data\pages\filler_text\passport_edge_00013_p03.jpg,0
data\pages\passport_normal\passport_normal_00014_p01.jpg,1
data\pages\filler_text\passport_normal_00014_p02.jpg,0
data\pages\filler_text\passport_normal_00014_p03.jpg,0
data\pages\filler_text\passport_edge_00015_p01.jpg,0
data\pages\filler_text\passport_edge_00015_p02.jpg,0
data\pages\passport_edge\passport_edge_00015_p03.jpg,1
data\pages\passport_normal\passport_normal_00016_p01.jpg,1
data\pages\filler_text\passport_normal_00016_p02.jpg,0
data\pages\filler_text\passport_edge_00017_p01.jpg,0
data\pages\passport_edge\passport_edge_00017_p02.jpg,1
data\pages\filler_text\passport_edge_00017_p03.jpg,0
data\pages\filler_text\passport_normal_00018_p01.jpg,0
data\pages\passport_normal\passport_normal_00018_p02.jpg,1
data\pages\passport_edge\passport_edge_00019_p01.jpg,1
data\pages\filler_text\passport_edge_00019_p02.jpg,0
data\pages\filler_text\passport_edge_00019_p03.jpg,0
data\pages\filler_text\passport_normal_00020_p01.jpg,0
data\pages\passport_normal\passport_normal_00020_p02.jpg,1
data\pages\passport_edge\passport_edge_00021_p01.jpg,1
data\pages\filler_text\passport_edge_00021_p02.jpg,0
data\pages\passport_normal\passport_normal_00022_p01.jpg,1
data\pages\filler_text\passport_normal_00022_p02.jpg,0
data\pages\filler_text\passport_normal_00022_p03.jpg,0
data\pages\passport_edge\passport_edge_00023_p01.jpg,1
data\pages\filler_text\passport_edge_00023_p02.jpg,0
data\pages\filler_text\passport_normal_00024_p01.jpg,0
data\pages\filler_text\passport_normal_00024_p02.jpg,0
data\pages\passport_normal\passport_normal_00024_p03.jpg,1
data\pages\filler_text\passport_edge_00025_p01.jpg,0
data\pages\passport_edge\passport_edge_00025_p02.jpg,1
data\pages\passport_normal\passport_normal_00026_p01.jpg,1
data\pages\filler_text\passport_normal_00026_p02.jpg,0
data\pages\filler_text\passport_edge_00027_p01.jpg,0
data\pages\passport_edge\passport_edge_00027_p02.jpg,1
data\pages\filler_text\passport_normal_00028_p01.jpg,0
data\pages\passport_normal\passport_normal_00028_p02.jpg,1
data\pages\filler_text\passport_normal_00028_p03.jpg,0
data\pages\filler_text\passport_edge_00029_p01.jpg,0
data\pages\filler_text\passport_edge_00029_p02.jpg,0
data\pages\passport_edge\passport_edge_00029_p04.jpg,1
data\pages\passport_normal\passport_normal_00030_p01.jpg,1
data\pages\filler_text\passport_normal_00030_p02.jpg,0
data\pages\filler_text\passport_edge_00031_p01.jpg,0
data\pages\filler_text\passport_edge_00031_p02.jpg,0
data\pages\passport_edge\passport_edge_00031_p03.jpg,1
data\pages\filler_text\passport_normal_00032_p01.jpg,0
data\pages\passport_normal\passport_normal_00032_p02.jpg,1
data\pages\filler_text\passport_normal_00032_p03.jpg,0
data\pages\filler_text\passport_edge_00033_p01.jpg,0
data\pages\passport_edge\passport_edge_00033_p02.jpg,1
data\pages\filler_text\passport_edge_00033_p03.jpg,0
data\pages\filler_text\passport_normal_00034_p01.jpg,0
data\pages\passport_normal\passport_normal_00034_p02.jpg,1
data\pages\filler_text\passport_edge_00035_p01.jpg,0
data\pages\passport_edge\passport_edge_00035_p02.jpg,1
data\pages\filler_text\passport_normal_00036_p01.jpg,0
data\pages\passport_normal\passport_normal_00036_p02.jpg,1
data\pages\filler_text\passport_normal_00036_p03.jpg,0
data\pages\passport_edge\passport_edge_00037_p01.jpg,1
data\pages\filler_text\passport_edge_00037_p02.jpg,0
data\pages\filler_text\passport_normal_00038_p01.jpg,0
data\pages\passport_normal\passport_normal_00038_p02.jpg,1
data\pages\filler_text\passport_edge_00039_p01.jpg,0
data\pages\filler_text\passport_edge_00039_p02.jpg,0
data\pages\passport_edge\passport_edge_00039_p03.jpg,1
data\pages\filler_text\passport_normal_00040_p01.jpg,0
data\pages\passport_normal\passport_normal_00040_p02.jpg,1
data\pages\filler_text\passport_edge_00041_p01.jpg,0
data\pages\filler_text\passport_edge_00041_p02.jpg,0
data\pages\passport_edge\passport_edge_00041_p03.jpg,1
data\pages\filler_text\passport_normal_00042_p01.jpg,0
data\pages\filler_text\passport_normal_00042_p02.jpg,0
data\pages\passport_normal\passport_normal_00042_p03.jpg,1
data\pages\filler_text\passport_edge_00043_p01.jpg,0
data\pages\passport_edge\passport_edge_00043_p02.jpg,1
data\pages\passport_normal\passport_normal_00044_p01.jpg,1
data\pages\filler_text\passport_normal_00044_p02.jpg,0
data\pages\filler_text\passport_edge_00045_p01.jpg,0
data\pages\filler_text\passport_edge_00045_p02.jpg,0
data\pages\passport_edge\passport_edge_00045_p03.jpg,1
data\pages\passport_normal\passport_normal_00046_p01.jpg,1
data\pages\filler_text\passport_normal_00046_p02.jpg,0
data\pages\filler_text\passport_edge_00047_p01.jpg,0
data\pages\passport_edge\passport_edge_00047_p02.jpg,1
data\pages\passport_normal\passport_normal_00048_p01.jpg,1
data\pages\filler_text\passport_normal_00048_p02.jpg,0
data\pages\filler_text\passport_edge_00049_p01.jpg,0
data\pages\passport_edge\passport_edge_00049_p02.jpg,1
data\pages\filler_text\passport_normal_00050_p01.jpg,0
data\pages\passport_normal\passport_normal_00050_p02.jpg,1
data\pages\filler_text\passport_edge_00051_p01.jpg,0
data\pages\passport_edge\passport_edge_00051_p02.jpg,1
data\pages\filler_text\passport_normal_00052_p01.jpg,0
data\pages\passport_normal\passport_normal_00052_p02.jpg,1
data\pages\filler_text\passport_edge_00053_p01.jpg,0
data\pages\filler_text\passport_edge_00053_p02.jpg,0
data\pages\passport_edge\passport_edge_00053_p03.jpg,1
data\pages\passport_normal\passport_normal_00054_p01.jpg,1
data\pages\filler_text\passport_normal_00054_p02.jpg,0
data\pages\filler_text\passport_normal_00054_p03.jpg,0
data\pages\filler_text\passport_edge_00055_p01.jpg,0
data\pages\passport_edge\passport_edge_00055_p02.jpg,1
data\pages\filler_text\passport_edge_00055_p03.jpg,0
data\pages\passport_normal\passport_normal_00056_p01.jpg,1
data\pages\filler_text\passport_normal_00056_p02.jpg,0
data\pages\passport_edge\passport_edge_00057_p01.jpg,1
data\pages\filler_text\passport_edge_00057_p02.jpg,0
data\pages\filler_text\passport_edge_00057_p03.jpg,0
data\pages\filler_text\passport_normal_00058_p01.jpg,0
data\pages\passport_normal\passport_normal_00058_p02.jpg,1
data\pages\filler_text\passport_edge_00059_p01.jpg,0
data\pages\passport_edge\passport_edge_00059_p02.jpg,1
data\pages\passport_normal\passport_normal_00060_p01.jpg,1
data\pages\filler_text\passport_normal_00060_p02.jpg,0
data\pages\filler_text\passport_normal_00060_p03.jpg,0
data\pages\filler_text\passport_edge_00061_p01.jpg,0
data\pages\filler_text\passport_edge_00061_p02.jpg,0
data\pages\passport_edge\passport_edge_00061_p04.jpg,1
data\pages\filler_text\passport_normal_00062_p01.jpg,0
data\pages\filler_text\passport_normal_00062_p02.jpg,0
data\pages\passport_normal\passport_normal_00062_p03.jpg,1
data\pages\passport_edge\passport_edge_00063_p01.jpg,1
data\pages\filler_text\passport_edge_00063_p02.jpg,0
data\pages\filler_text\passport_edge_00063_p03.jpg,0
data\pages\filler_text\passport_normal_00064_p01.jpg,0
data\pages\filler_text\passport_normal_00064_p02.jpg,0
data\pages\passport_normal\passport_normal_00064_p03.jpg,1
data\pages\filler_text\passport_edge_00065_p01.jpg,0
data\pages\filler_text\passport_edge_00065_p02.jpg,0
data\pages\passport_edge\passport_edge_00065_p03.jpg,1
data\pages\passport_normal\passport_normal_00066_p01.jpg,1
data\pages\filler_text\passport_normal_00066_p02.jpg,0
data\pages\filler_text\passport_normal_00066_p03.jpg,0
data\pages\passport_edge\passport_edge_00067_p01.jpg,1
data\pages\filler_text\passport_edge_00067_p02.jpg,0
data\pages\filler_text\passport_edge_00067_p03.jpg,0
data\pages\passport_normal\passport_normal_00068_p01.jpg,1
data\pages\filler_text\passport_normal_00068_p02.jpg,0
data\pages\filler_text\passport_edge_00069_p01.jpg,0
data\pages\passport_edge\passport_edge_00069_p02.jpg,1
data\pages\filler_text\passport_edge_00069_p03.jpg,0
data\pages\filler_text\passport_normal_00070_p01.jpg,0
data\pages\passport_normal\passport_normal_00070_p02.jpg,1
data\pages\filler_text\passport_edge_00071_p01.jpg,0
data\pages\passport_edge\passport_edge_00071_p02.jpg,1
data\pages\filler_text\passport_edge_00071_p03.jpg,0
data\pages\passport_normal\passport_normal_00072_p01.jpg,1
data\pages\filler_text\passport_normal_00072_p02.jpg,0
data\pages\passport_edge\passport_edge_00073_p01.jpg,1
data\pages\filler_text\passport_edge_00073_p02.jpg,0
data\pages\filler_text\passport_edge_00073_p03.jpg,0
data\pages\passport_normal\passport_normal_00074_p01.jpg,1
data\pages\filler_text\passport_normal_00074_p02.jpg,0
data\pages\filler_text\passport_normal_00074_p03.jpg,0
data\pages\filler_text\passport_edge_00075_p01.jpg,0
data\pages\passport_edge\passport_edge_00075_p02.jpg,1
data\pages\filler_text\passport_edge_00075_p03.jpg,0
data\pages\passport_normal\passport_normal_00076_p01.jpg,1
data\pages\filler_text\passport_normal_00076_p02.jpg,0
data\pages\passport_edge\passport_edge_00077_p01.jpg,1
data\pages\filler_text\passport_edge_00077_p02.jpg,0
data\pages\filler_text\passport_normal_00078_p01.jpg,0
data\pages\filler_text\passport_normal_00078_p02.jpg,0
data\pages\passport_normal\passport_normal_00078_p03.jpg,1
data\pages\filler_text\passport_edge_00079_p01.jpg,0
data\pages\passport_edge\passport_edge_00079_p02.jpg,1
data\pages\filler_text\passport_edge_00079_p03.jpg,0
data\pages\passport_normal\passport_normal_00080_p01.jpg,1
data\pages\filler_text\passport_normal_00080_p02.jpg,0
data\pages\filler_text\passport_edge_00081_p01.jpg,0
data\pages\passport_edge\passport_edge_00081_p02.jpg,1
data\pages\passport_normal\passport_normal_00082_p01.jpg,1
data\pages\filler_text\passport_normal_00082_p02.jpg,0
data\pages\passport_edge\passport_edge_00083_p01.jpg,1
data\pages\filler_text\passport_edge_00083_p02.jpg,0
data\pages\filler_text\passport_normal_00084_p01.jpg,0
data\pages\passport_normal\passport_normal_00084_p02.jpg,1
data\pages\passport_edge\passport_edge_00085_p01.jpg,1
data\pages\filler_text\passport_edge_00085_p02.jpg,0
data\pages\filler_text\passport_normal_00086_p01.jpg,0
data\pages\passport_normal\passport_normal_00086_p02.jpg,1
data\pages\filler_text\passport_normal_00086_p03.jpg,0
data\pages\filler_text\passport_edge_00087_p01.jpg,0
data\pages\filler_text\passport_edge_00087_p02.jpg,0
