relative_path,image_name,image_path,width,height,tile_count,status,error,vector_row
data\pages/filler_text/passport_edge_00001_p02.jpg,passport_edge_00001_p02.jpg,data\pages\filler_text\passport_edge_00001_p02.jpg,1241,1754,22,ok,,0
data\pages/filler_text/passport_edge_00003_p01.jpg,passport_edge_00003_p01.jpg,data\pages\filler_text\passport_edge_00003_p01.jpg,1275,1650,26,ok,,1
data\pages/filler_text/passport_edge_00005_p02.jpg,passport_edge_00005_p02.jpg,data\pages\filler_text\passport_edge_00005_p02.jpg,1241,1754,22,ok,,2
data\pages/filler_text/passport_edge_00005_p03.jpg,passport_edge_00005_p03.jpg,data\pages\filler_text\passport_edge_00005_p03.jpg,1241,1754,22,ok,,3
data\pages/filler_text/passport_edge_00007_p01.jpg,passport_edge_00007_p01.jpg,data\pages\filler_text\passport_edge_00007_p01.jpg,1241,1754,21,ok,,4
data\pages/filler_text/passport_edge_00007_p02.jpg,passport_edge_00007_p02.jpg,data\pages\filler_text\passport_edge_00007_p02.jpg,1241,1754,18,ok,,5
data\pages/filler_text/passport_edge_00009_p02.jpg,passport_edge_00009_p02.jpg,data\pages\filler_text\passport_edge_00009_p02.jpg,1275,1650,12,ok,,6
data\pages/filler_text/passport_edge_00011_p02.jpg,passport_edge_00011_p02.jpg,data\pages\filler_text\passport_edge_00011_p02.jpg,1241,1754,18,ok,,7
data\pages/filler_text/passport_edge_00011_p03.jpg,passport_edge_00011_p03.jpg,data\pages\filler_text\passport_edge_00011_p03.jpg,1241,1754,18,ok,,8
data\pages/filler_text/passport_edge_00013_p01.jpg,passport_edge_00013_p01.jpg,data\pages\filler_text\passport_edge_00013_p01.jpg,1275,1650,22,ok,,9
data\pages/filler_text/passport_edge_00013_p03.jpg,passport_edge_00013_p03.jpg,data\pages\filler_text\passport_edge_00013_p03.jpg,1275,1650,18,ok,,10
data\pages/filler_text/passport_edge_00015_p01.jpg,passport_edge_00015_p01.jpg,data\pages\filler_text\passport_edge_00015_p01.jpg,1241,1754,18,ok,,11
data\pages/filler_text/passport_edge_00015_p02.jpg,passport_edge_00015_p02.jpg,data\pages\filler_text\passport_edge_00015_p02.jpg,1241,1754,18,ok,,12
data\pages/filler_text/passport_edge_00017_p01.jpg,passport_edge_00017_p01.jpg,data\pages\filler_text\passport_edge_00017_p01.jpg,1241,1754,16,ok,,13
data\pages/filler_text/passport_edge_00017_p03.jpg,passport_edge_00017_p03.jpg,data\pages\filler_text\passport_edge_00017_p03.jpg,1241,1754,22,ok,,14
data\pages/filler_text/passport_edge_00019_p02.jpg,passport_edge_00019_p02.jpg,data\pages\filler_text\passport_edge_00019_p02.jpg,1275,1650,26,ok,,15
data\pages/filler_text/passport_edge_00019_p03.jpg,passport_edge_00019_p03.jpg,data\pages\filler_text\passport_edge_00019_p03.jpg,1275,1650,6,ok,,16
data\pages/filler_text/passport_edge_00021_p02.jpg,passport_edge_00021_p02.jpg,data\pages\filler_text\passport_edge_00021_p02.jpg,1241,1754,21,ok,,17
data\pages/filler_text/passport_edge_00023_p02.jpg,passport_edge_00023_p02.jpg,data\pages\filler_text\passport_edge_00023_p02.jpg,1241,1754,21,ok,,18
data\pages/filler_text/passport_edge_00025_p01.jpg,passport_edge_00025_p01.jpg,data\pages\filler_text\passport_edge_00025_p01.jpg,1241,1754,22,ok,,19
data\pages/filler_text/passport_edge_00027_p01.jpg,passport_edge_00027_p01.jpg,data\pages\filler_text\passport_edge_00027_p01.jpg,1241,1754,18,ok,,20
data\pages/filler_text/passport_edge_00029_p01.jpg,passport_edge_00029_p01.jpg,data\pages\filler_text\passport_edge_00029_p01.jpg,1241,1754,22,ok,,21
data\pages/filler_text/passport_edge_00029_p02.jpg,passport_edge_00029_p02.jpg,data\pages\filler_text\passport_edge_00029_p02.jpg,1241,1754,22,ok,,22
data\pages/filler_text/passport_edge_00031_p01.jpg,passport_edge_00031_p01.jpg,data\pages\filler_text\passport_edge_00031_p01.jpg,1241,1754,22,ok,,23
data\pages/filler_text/passport_edge_00031_p02.jpg,passport_edge_00031_p02.jpg,data\pages\filler_text\passport_edge_00031_p02.jpg,1241,1754,22,ok,,24
data\pages/filler_text/passport_edge_00033_p01.jpg,passport_edge_00033_p01.jpg,data\pages\filler_text\passport_edge_00033_p01.jpg,1241,1754,18,ok,,25
data\pages/filler_text/passport_edge_00033_p03.jpg,passport_edge_00033_p03.jpg,data\pages\filler_text\passport_edge_00033_p03.jpg,1241,1754,22,ok,,26
data\pages/filler_text/passport_edge_00035_p01.jpg,passport_edge_00035_p01.jpg,data\pages\filler_text\passport_edge_00035_p01.jpg,1241,1754,22,ok,,27
data\pages/filler_text/passport_edge_00037_p02.jpg,passport_edge_00037_p02.jpg,data\pages\filler_text\passport_edge_00037_p02.jpg,1275,1650,10,ok,,28
data\pages/filler_text/passport_edge_00039_p01.jpg,passport_edge_00039_p01.jpg,data\pages\filler_text\passport_edge_00039_p01.jpg,1241,1754,22,ok,,29
data\pages/filler_text/passport_edge_00039_p02.jpg,passport_edge_00039_p02.jpg,data\pages\filler_text\passport_edge_00039_p02.jpg,1241,1754,18,ok,,30
data\pages/filler_text/passport_edge_00041_p01.jpg,passport_edge_00041_p01.jpg,data\pages\filler_text\passport_edge_00041_p01.jpg,1241,1754,21,ok,,31
data\pages/filler_text/passport_edge_00041_p02.jpg,passport_edge_00041_p02.jpg,data\pages\filler_text\passport_edge_00041_p02.jpg,1241,1754,22,ok,,32
data\pages/filler_text/passport_edge_00043_p01.jpg,passport_edge_00043_p01.jpg,data\pages\filler_text\passport_edge_00043_p01.jpg,1241,1754,18,ok,,33
data\pages/filler_text/passport_edge_00045_p01.jpg,passport_edge_00045_p01.jpg,data\pages\filler_text\passport_edge_00045_p01.jpg,1241,1754,21,ok,,34
data\pages/filler_text/passport_edge_00045_p02.jpg,passport_edge_00045_p02.jpg,data\pages\filler_text\passport_edge_00045_p02.jpg,1241,1754,18,ok,,35
data\pages/filler_text/passport_edge_00047_p01.jpg,passport_edge_00047_p01.jpg,data\pages\filler_text\passport_edge_00047_p01.jpg,1275,1650,26,ok,,36
data\pages/filler_text/passport_edge_00049_p01.jpg,passport_edge_00049_p01.jpg,data\pages\filler_text\passport_edge_00049_p01.jpg,1241,1754,18,ok,,37
data\pages/filler_text/passport_edge_00051_p01.jpg,passport_edge_00051_p01.jpg,data\pages\filler_text\passport_edge_00051_p01.jpg,1241,1754,22,ok,,38
data\pages/filler_text/passport_edge_00053_p01.jpg,passport_edge_00053_p01.jpg,data\pages\filler_text\passport_edge_00053_p01.jpg,1275,1650,26,ok,,39
data\pages/filler_text/passport_edge_00053_p02.jpg,passport_edge_00053_p02.jpg,data\pages\filler_text\passport_edge_00053_p02.jpg,1275,1650,26,ok,,40
data\pages/filler_text/passport_edge_00055_p01.jpg,passport_edge_00055_p01.jpg,data\pages\filler_text\passport_edge_00055_p01.jpg,1241,1754,20,ok,,41
data\pages/filler_text/passport_edge_00055_p03.jpg,passport_edge_00055_p03.jpg,data\pages\filler_text\passport_edge_00055_p03.jpg,1241,1754,22,ok,,42
data\pages/filler_text/passport_edge_00057_p02.jpg,passport_edge_00057_p02.jpg,data\pages\filler_text\passport_edge_00057_p02.jpg,1241,1754,20,ok,,43
data\pages/filler_text/passport_edge_00057_p03.jpg,passport_edge_00057_p03.jpg,data\pages\filler_text\passport_edge_00057_p03.jpg,1241,1754,21,ok,,44
data\pages/filler_text/passport_edge_00059_p01.jpg,passport_edge_00059_p01.jpg,data\pages\filler_text\passport_edge_00059_p01.jpg,1275,1650,26,ok,,45
data\pages/filler_text/passport_edge_00061_p01.jpg,passport_edge_00061_p01.jpg,data\pages\filler_text\passport_edge_00061_p01.jpg,1241,1754,18,ok,,46
data\pages/filler_text/passport_edge_00061_p02.jpg,passport_edge_00061_p02.jpg,data\pages\filler_text\passport_edge_00061_p02.jpg,1241,1754,21,ok,,47
data\pages/filler_text/passport_edge_00063_p02.jpg,passport_edge_00063_p02.jpg,data\pages\filler_text\passport_edge_00063_p02.jpg,1241,1754,21,ok,,48
data\pages/filler_text/passport_edge_00063_p03.jpg,passport_edge_00063_p03.jpg,data\pages\filler_text\passport_edge_00063_p03.jpg,1241,1754,16,ok,,49
data\pages/filler_text/passport_edge_00065_p01.jpg,passport_edge_00065_p01.jpg,data\pages\filler_text\passport_edge_00065_p01.jpg,1275,1650,26,ok,,50
data\pages/filler_text/passport_edge_00065_p02.jpg,passport_edge_00065_p02.jpg,data\pages\filler_text\passport_edge_00065_p02.jpg,1275,1650,18,ok,,51
data\pages/filler_text/passport_edge_00067_p02.jpg,passport_edge_00067_p02.jpg,data\pages\filler_text\passport_edge_00067_p02.jpg,1241,1754,16,ok,,52
data\pages/filler_text/passport_edge_00067_p03.jpg,passport_edge_00067_p03.jpg,data\pages\filler_text\passport_edge_00067_p03.jpg,1241,1754,22,ok,,53
data\pages/filler_text/passport_edge_00069_p01.jpg,passport_edge_00069_p01.jpg,data\pages\filler_text\passport_edge_00069_p01.jpg,1241,1754,22,ok,,54
data\pages/filler_text/passport_edge_00069_p03.jpg,passport_edge_00069_p03.jpg,data\pages\filler_text\passport_edge_00069_p03.jpg,1241,1754,22,ok,,55
data\pages/filler_text/passport_edge_00071_p01.jpg,passport_edge_00071_p01.jpg,data\pages\filler_text\passport_edge_00071_p01.jpg,1241,1754,22,ok,,56
data\pages/filler_text/passport_edge_00071_p03.jpg,passport_edge_00071_p03.jpg,data\pages\filler_text\passport_edge_00071_p03.jpg,1241,1754,22,ok,,57
data\pages/filler_text/passport_edge_00073_p02.jpg,passport_edge_00073_p02.jpg,data\pages\filler_text\passport_edge_00073_p02.jpg,1241,1754,22,ok,,58
data\pages/filler_text/passport_edge_00073_p03.jpg,passport_edge_00073_p03.jpg,data\pages\filler_text\passport_edge_00073_p03.jpg,1241,1754,21,ok,,59
data\pages/filler_text/passport_edge_00075_p01.jpg,passport_edge_00075_p01.jpg,data\pages\filler_text\passport_edge_00075_p01.jpg,1241,1754,22,ok,,60
data\pages/filler_text/passport_edge_00075_p03.jpg,passport_edge_00075_p03.jpg,data\pages\filler_text\passport_edge_00075_p03.jpg,1241,1754,18,ok,,61
data\pages/filler_text/passport_edge_00077_p02.jpg,passport_edge_00077_p02.jpg,data\pages\filler_text\passport_edge_00077_p02.jpg,1241,1754,16,ok,,62
data\pages/filler_text/passport_edge_00079_p01.jpg,passport_edge_00079_p01.jpg,data\pages\filler_text\passport_edge_00079_p01.jpg,1241,1754,22,ok,,63
data\pages/filler_text/passport_edge_00079_p03.jpg,passport_edge_00079_p03.jpg,data\pages\filler_text\passport_edge_00079_p03.jpg,1241,1754,22,ok,,64
data\pages/filler_text/passport_edge_00081_p01.jpg,passport_edge_00081_p01.jpg,data\pages\filler_text\passport_edge_00081_p01.jpg,1241,1754,18,ok,,65
data\pages/filler_text/passport_edge_00083_p02.jpg,passport_edge_00083_p02.jpg,data\pages\filler_text\passport_edge_00083_p02.jpg,1241,1754,22,ok,,66
data\pages/filler_text/passport_edge_00085_p02.jpg,passport_edge_00085_p02.jpg,data\pages\filler_text\passport_edge_00085_p02.jpg,1275,1650,12,ok,,67
data\pages/filler_text/passport_edge_00087_p01.jpg,passport_edge_00087_p01.jpg,data\pages\filler_text\passport_edge_00087_p01.jpg,1241,1754,21,ok,,68
data\pages/filler_text/passport_edge_00087_p02.jpg,passport_edge_00087_p02.jpg,data\pages\filler_text\passport_edge_00087_p02.jpg,1241,1754,22,ok,,69
